S,Q5,Q10,Q25,Q50,Q100,Q500
100,1.6,1.719998,1.95,2.2,4,6.26999
200,1.59407,1.713566,1.942563,2.191558,3.98392,6.24438
300,1.58814,1.707134,1.935126,2.183116,3.96784,6.21877
400,1.58221,1.700702,1.927689,2.174674,3.95176,6.19316
500,1.57628,1.69427,1.920252,2.166232,3.93568,6.16755
600,1.57035,1.687838,1.912815,2.15779,3.9196,6.14194
700,1.56442,1.681406,1.905378,2.149348,3.90352,6.11633
800,1.55849,1.674974,1.897941,2.140906,3.88744,6.09072
900,1.55256,1.668542,1.890504,2.132464,3.87136,6.06511
1000,1.54663,1.66211,1.883067,2.124022,3.85528,6.0395
1100,1.5407,1.655678,1.87563,2.11558,3.8392,6.01389
1200,1.53477,1.649246,1.868193,2.107138,3.82312,5.98828
1300,1.52884,1.642814,1.860756,2.098696,3.80704,5.96267
1400,1.52291,1.636382,1.853319,2.090254,3.79096,5.93706
1500,1.51698,1.62995,1.845882,2.081812,3.77488,5.91145
1600,1.51105,1.623518,1.838445,2.07337,3.7588,5.88584
1700,1.50512,1.617086,1.831008,2.064928,3.74272,5.86023
1800,1.49919,1.610654,1.823571,2.056486,3.72664,5.83462
1900,1.49326,1.604222,1.816134,2.048044,3.71056,5.80901
2000,1.48733,1.59779,1.808697,2.039602,3.69448,5.7834
2100,1.4814,1.591358,1.80126,2.03116,3.6784,5.75779
2200,1.47547,1.584926,1.793823,2.022718,3.66232,5.73218
2300,1.46954,1.578494,1.786386,2.014276,3.64624,5.70657
2400,1.46361,1.572062,1.778949,2.005834,3.63016,5.68096
2500,1.45768,1.56563,1.771512,1.997392,3.61408,5.65535
2600,1.45175,1.559198,1.764075,1.98895,3.598,5.62974
2700,1.44582,1.552766,1.756638,1.980508,3.58192,5.60413
2800,1.43989,1.546334,1.749201,1.972066,3.56584,5.57852
2900,1.43396,1.539902,1.741764,1.963624,3.54976,5.55291
3000,1.42803,1.53347,1.734327,1.955182,3.53368,5.5273
3100,1.4221,1.527038,1.72689,1.94674,3.5176,5.50169
3200,1.41617,1.520606,1.719453,1.938298,3.50152,5.47608
3300,1.41024,1.514174,1.712016,1.929856,3.48544,5.45047
3400,1.40431,1.507742,1.704579,1.921414,3.46936,5.42486
3500,1.39838,1.50131,1.697142,1.912972,3.45328,5.39925
3600,1.39245,1.494878,1.689705,1.90453,3.4372,5.37364
3700,1.38652,1.488446,1.682268,1.896088,3.42112,5.34803
3800,1.38059,1.482014,1.674831,1.887646,3.40504,5.32242
3900,1.37466,1.475582,1.667394,1.879204,3.38896,5.29681
4000,1.36873,1.46915,1.659957,1.870762,3.37288,5.2712
4100,1.3628,1.462718,1.65252,1.86232,3.3568,5.24559
4200,1.35687,1.456286,1.645083,1.853878,3.34072,5.21998
4300,1.35094,1.449854,1.637646,1.845436,3.32464,5.19437
4400,1.34501,1.443422,1.630209,1.836994,3.30856,5.16876
4500,1.33908,1.43699,1.622772,1.828552,3.29248,5.14315
4600,1.33315,1.430558,1.615335,1.82011,3.2764,5.11754
4700,1.32722,1.424126,1.607898,1.811668,3.26032,5.09193
4800,1.32129,1.417694,1.600461,1.803226,3.24424,5.06632
4900,1.31536,1.411262,1.593024,1.794784,3.22816,5.04071
5000,1.30943,1.40483,1.585587,1.786342,3.21208,5.0151
5100,1.3035,1.398398,1.57815,1.7779,3.196,4.98949
5200,1.29757,1.391966,1.570713,1.769458,3.17992,4.96388
5300,1.29164,1.385534,1.563276,1.761016,3.16384,4.93827
5400,1.28571,1.379102,1.555839,1.752574,3.14776,4.91266
5500,1.27978,1.37267,1.548402,1.744132,3.13168,4.88705
5600,1.27385,1.366238,1.540965,1.73569,3.1156,4.86144
5700,1.26792,1.359806,1.533528,1.727248,3.09952,4.83583
5800,1.26199,1.353374,1.526091,1.718806,3.08344,4.81022
5900,1.25606,1.346942,1.518654,1.710364,3.06736,4.78461
6000,1.25013,1.34051,1.511217,1.701922,3.05128,4.759
6100,1.2442,1.334078,1.50378,1.69348,3.0352,4.73339
6200,1.23827,1.327646,1.496343,1.685038,3.01912,4.70778
6300,1.23234,1.321214,1.488906,1.676596,3.00304,4.68217
6400,1.22641,1.314782,1.481469,1.668154,2.98696,4.65656
6500,1.22048,1.30835,1.474032,1.659712,2.97088,4.63095
6600,1.21455,1.301918,1.466595,1.65127,2.9548,4.60534
6700,1.20862,1.295486,1.459158,1.642828,2.93872,4.57973
6800,1.20269,1.289054,1.451721,1.634386,2.92264,4.55412
6900,1.19676,1.282622,1.444284,1.625944,2.90656,4.52851
7000,1.19083,1.27619,1.436847,1.617502,2.89048,4.5029
7100,1.1849,1.269758,1.42941,1.60906,2.8744,4.47729
7200,1.17897,1.263326,1.421973,1.600618,2.85832,4.45168
7300,1.17304,1.256894,1.414536,1.592176,2.84224,4.42607
7400,1.16711,1.250462,1.407099,1.583734,2.82616,4.40046
7500,1.16118,1.24403,1.399662,1.575292,2.81008,4.37485
7600,1.15525,1.237598,1.392225,1.56685,2.794,4.34924
7700,1.14932,1.231166,1.384788,1.558408,2.77792,4.32363
7800,1.14339,1.224734,1.377351,1.549966,2.76184,4.29802
7900,1.13746,1.218302,1.369914,1.541524,2.74576,4.27241
8000,1.13153,1.21187,1.362477,1.533082,2.72968,4.2468
8100,1.1256,1.205438,1.35504,1.52464,2.7136,4.22119
8200,1.11967,1.199006,1.347603,1.516198,2.69752,4.19558
8300,1.11374,1.192574,1.340166,1.507756,2.68144,4.16997
8400,1.10781,1.186142,1.332729,1.499314,2.66536,4.14436
8500,1.10188,1.17971,1.325292,1.490872,2.64928,4.11875
8600,1.09595,1.173278,1.317855,1.48243,2.6332,4.09314
8700,1.09002,1.166846,1.310418,1.473988,2.61712,4.06753
8800,1.08409,1.160414,1.302981,1.465546,2.60104,4.04192
